time,longitude,latitude,depth,magnitude
2016-07-11 01:22:45.776,-97.7139,36.6471,8.3,0.3
2016-07-11 04:20:57.929,-97.7574,36.6287,4.4,-0.2
2016-07-11 05:16:38.187,-97.6924,36.6053,3.4,0.2
2016-07-11 05:26:50.274,-97.687,36.616,2.5,0.9
2016-07-11 05:27:27.181,-97.6919,36.6052,3.5,-0.1
2016-07-11 05:40:58.111,-97.7315,36.6558,5.0,0.1
2016-07-11 05:55:16.388,-97.6889,36.617,3.0,2.5
2016-07-11 05:56:22.613,-97.6869,36.6165,2.7,-0.2
2016-07-11 05:58:46.177,-97.6865,36.616,2.6,0.2
2016-07-11 05:59:07.639,-97.6867,36.6165,2.6,0.9
2016-07-11 06:00:11.509,-97.6872,36.6162,2.7,0.1
2016-07-11 06:00:39.893,-97.6874,36.616,2.6,1.1
2016-07-11 06:00:43.477,-97.6864,36.6157,2.7,0.8
2016-07-11 06:02:43.422,-97.6878,36.616,2.7,0.1
2016-07-11 06:09:33.628,-97.6874,36.6158,2.5,1.2
2016-07-11 06:10:38.193,-97.6878,36.6158,2.6,0.0
2016-07-11 06:10:45.255,-97.6878,36.6157,2.5,0.9
2016-07-11 06:14:27.241,-97.6864,36.6164,2.6,0.3
2016-07-11 06:16:03.511,-97.6884,36.6161,2.5,0.3
2016-07-11 06:17:33.984,-97.687,36.6168,2.6,0.2
2016-07-11 06:30:04.946,-97.6877,36.6158,2.5,0.9
2016-07-11 06:30:29.412,-97.6876,36.6158,2.6,0.4
2016-07-11 06:30:32.980,-97.6876,36.6162,2.6,-0.1
2016-07-11 06:32:00.585,-97.688,36.6157,2.7,-0.2
2016-07-11 06:34:00.187,-97.6881,36.6159,2.5,-0.2
2016-07-11 06:35:08.595,-97.6873,36.6158,2.5,1.4
2016-07-11 06:40:01.868,-97.7298,36.6562,5.0,-0.1
2016-07-11 06:40:25.385,-97.6883,36.6156,2.7,-0.1
2016-07-11 06:42:10.320,-97.6881,36.6157,2.6,0.1
2016-07-11 06:42:12.974,-97.6885,36.6155,2.7,0.0
2016-07-11 06:42:43.183,-97.6886,36.6159,2.6,0.1
2016-07-11 06:44:34.772,-97.6882,36.616,2.7,-0.1
2016-07-11 06:53:47.802,-97.6886,36.6154,2.8,-0.2
2016-07-11 07:04:18.998,-97.6878,36.6158,2.6,0.3
2016-07-11 07:05:27.617,-97.6882,36.6161,2.7,0.5
2016-07-11 07:12:13.820,-97.688,36.6158,2.8,0.3
2016-07-11 08:17:36.984,-97.6887,36.6154,2.7,-0.0
2016-07-11 08:21:07.303,-97.6875,36.6163,2.8,0.2
2016-07-11 08:21:53.758,-97.6879,36.6154,2.8,0.6
2016-07-11 08:23:56.523,-97.6865,36.6163,2.6,0.0
2016-07-11 08:33:07.393,-97.6906,36.615,3.1,0.1
2016-07-11 08:36:37.900,-97.6864,36.6175,3.2,0.2
2016-07-11 08:38:16.341,-97.6875,36.6155,2.9,-0.0
2016-07-11 09:08:15.646,-97.6863,36.6163,2.4,0.8
2016-07-11 10:20:33.819,-97.6881,36.6157,2.5,0.2
2016-07-11 10:38:22.750,-97.6887,36.6161,2.5,0.3
2016-07-11 11:48:39.697,-97.667,36.6674,3.5,-0.1
2016-07-11 12:08:16.960,-97.6886,36.6158,2.6,-0.2
2016-07-11 12:08:36.323,-97.6888,36.6153,2.7,0.3
2016-07-11 12:15:04.497,-97.6888,36.6153,2.6,1.0
2016-07-11 13:53:16.085,-97.6883,36.6156,2.7,0.1
2016-07-11 16:10:30.110,-97.6885,36.6157,2.6,-0.3
2016-07-11 19:21:36.936,-97.6727,36.6649,4.0,-0.1
2016-07-11 19:39:38.341,-97.6881,36.6158,2.6,-0.2
2016-07-11 21:29:50.976,-97.5917,36.7275,5.3,-0.2
2016-07-11 23:04:48.252,-97.7298,36.6136,3.0,-0.1
